model,random_mean,random_std,grouped_mean,grouped_std
Random Forest,0.6758870214227953,0.17138561029670235,-0.12363204600542108,1.1551558985458752
AdaBoost,0.6555471661191491,0.15248901064081158,-0.2639600069655082,1.3571374896987471
Gradient Boosting,0.666067699970122,0.17438037109237695,-0.30276503521786274,1.2244902990282263
Decision Tree,0.6500065936620044,0.20375101877101104,-0.3251674791553186,1.7307136655549953
CatBoost,0.6670214612142676,0.17538292808311767,-0.5201752176609198,1.0854867576603915
XGBoost,0.6777575029815236,0.1845395915492202,-0.6076890116102465,1.106088069063296
HistGradientBoosting,0.5777394728481389,0.16021102180819718,-0.7024322936943467,1.61880205670466
LightGBM,0.5676371656490161,0.1634725954990719,-0.735599300659452,1.608648837927545
Extra Trees,0.6660764098456088,0.1929110328076564,-0.774284473587332,1.214900981021743
Baseline (predict mean),-0.09049275707355721,0.12818811627953378,-0.902734475693552,1.1934106548537797
SVR (rbf),0.5248916915410479,0.19177754098585986,-0.9359127420632197,1.4490848796921
KNN (k=5),0.44044844472038697,0.19155217559179416,-1.483482216461561,1.7773944869496696
Ridge,0.19803871477824106,0.267146430894116,-3.0315680692787725,4.455296981739358
BayesianRidge,0.19666799332038273,0.2335867295433812,-3.0844778156454677,4.7133729865895
ElasticNet,0.03397356757123754,0.20390348066500427,-3.1261300344481833,4.490893589519361
Lasso,0.013530250016538854,0.18484857968290277,-3.2110426244889365,4.663078298514563
OLS,0.16333844413397444,0.30094277650937745,-3.99646526104052,6.007644460840076
Huber (robust),0.09184697371853366,0.3738420966567661,-4.387932608849965,6.274883315260762
MLP (neural net),-1.380165670938961,1.9445902088229532,-52.79167801060971,61.90928493407727
